Code commune;Libellé;Taux AOT;Taux syndicat mixte;Date effet;Codes postaux afférents;
'01229';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01340';
'01230';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01560';
'01230';GRAND BOURG AGGLOMERATION;1.1;0;20240701;'01560';
'01232';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01851';
'01236';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01340';
'01238';COMMUNAUTE DE COMMUNES DOMBES SAONE-VALLEE;0.6;0;20160701;'01600';
'01241';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01009';'01370';
'01245';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01250';
'01249';COMMUNAUTE DE COMMUNES DE MIRIBEL ET DU PLATEAU;0.5;0;20210101;'01700';'01701';'01702';'01705';'01706';'01708';
'01250';COMMUNAUTE DE COMMUNES DOMBES SAONE-VALLEE;0.6;0;20160701;'01600';'01601';
'01254';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01002';'01003';'01007';'01250';
'01259';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01310';'01441';
'01262';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0.6;0;20240101;'01120';'01121';'01122';'01123';'01124';
'01262';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0;0;20240701;'01120';'01121';'01122';'01123';'01124';
'01262';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0.45;0;20250101;'01120';'01121';'01122';'01123';'01124';
'01264';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01310';
'01266';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01340';
'01275';COMMUNAUTE DE COMMUNES DE MIRIBEL ET DU PLATEAU;0.5;0;20210101;'01700';'01701';'01702';'01704';'01707';
'01276';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0.6;0;20240101;'01120';
'01276';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0;0;20240701;'01120';
'01276';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0.45;0;20250101;'01120';
'01285';COMMUNAUTE DE COMMUNES DOMBES SAONE-VALLEE;0.6;0;20160701;'01600';'01603';
'01289';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01001';'01002';'01005';'01008';'01960';
'01296';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01270';
'01297';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0.6;0;20240101;'01120';'01124';
'01297';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0;0;20240701;'01120';'01124';
'01297';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0.45;0;20250101;'01120';'01124';
'01301';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01310';'01443';
'01309';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01250';
'01309';GRAND BOURG AGGLOMERATION;1.1;0;20240701;'01250';
'01317';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01250';
'01318';COMMUNAUTE DE COMMUNES DOMBES SAONE-VALLEE;0.6;0;20160701;'01390';
'01321';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01004';'01250';
'01322';COMMUNAUTE DE COMMUNES DOMBES SAONE-VALLEE;0.6;0;20160701;'01600';'01601';'01602';'01603';'01604';
'01336';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01001';'01003';'01960';
'01339';COMMUNAUTE DE COMMUNES DOMBES SAONE-VALLEE;0.6;0;20160701;'01600';
'01342';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0.6;0;20240101;'01120';
'01342';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0;0;20240701;'01120';
'01342';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0.45;0;20250101;'01120';
'01344';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01000';'01001';'01002';'01003';'01004';'01005';'01006';
'01346';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01340';
'01347';COMMUNAUTE DE COMMUNES DOMBES SAONE-VALLEE;0.6;0;20160701;'01600';'01606';
'01350';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01370';
'01353';COMMUNAUTE DE COMMUNES DOMBES SAONE-VALLEE;0.6;0;20160701;'01600';
'01362';COMMUNAUTE DE COMMUNES DOMBES SAONE-VALLEE;0.6;0;20160701;'01390';
'01364';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01560';
'01364';GRAND BOURG AGGLOMERATION;1.1;0;20240701;'01560';
'01367';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01560';
'01367';GRAND BOURG AGGLOMERATION;1.1;0;20240701;'01560';
'01369';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01001';'01250';
'01370';CA MACONNAIS BEAUJOLAIS AGGLOMERATION;0.8;0;20140701;'01750';
'01374';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01160';
'01375';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01310';
'01376';COMMUNAUTE DE COMMUNES DE MIRIBEL ET DU PLATEAU;0.5;0;20210101;'01700';'01702';'01703';'01705';'01708';'01709';
'01380';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01560';
'01380';GRAND BOURG AGGLOMERATION;1.1;0;20240701;'01560';
'01385';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01004';'01007';'01310';'01441';
'01387';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01340';
'01388';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01560';
'01388';GRAND BOURG AGGLOMERATION;1.1;0;20240701;'01560';
'01391';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01270';
'01391';GRAND BOURG AGGLOMERATION;1.1;0;20240701;'01270';
'01398';COMMUNAUTE DE COMMUNES DOMBES SAONE-VALLEE;0.6;0;20160701;'01480';
'01405';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01004';'01960';
'01406';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01560';
'01406';GRAND BOURG AGGLOMERATION;1.1;0;20240701;'01560';
'01408';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01250';
'01418';COMMUNAUTE DE COMMUNES DE MIRIBEL ET DU PLATEAU;0.5;0;20210101;'01120';'01128';
'01422';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01006';'01250';
'01423';COMMUNAUTE DE COMMUNES DOMBES SAONE-VALLEE;0.6;0;20160701;'01600';
'01424';COMMUNAUTE DE COMMUNES DE MIRIBEL ET DU PLATEAU;0.5;0;20210101;'01390';
'01425';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01160';
'01426';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01370';
'01427';COMMUNAUTE DE COMMUNES DOMBES SAONE-VALLEE;0.6;0;20160701;'01600';'01601';'01602';'01603';'01604';'01606';
'01429';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01660';
'01432';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01270';
'01432';GRAND BOURG AGGLOMERATION;1.1;0;20240701;'01270';
'01433';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01560';
'01433';GRAND BOURG AGGLOMERATION;1.1;0;20240701;'01560';
'01437';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01560';
'01437';GRAND BOURG AGGLOMERATION;1.1;0;20240701;'01560';
'01445';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01270';
'01445';GRAND BOURG AGGLOMERATION;1.1;0;20240701;'01270';
'01446';COMMUNAUTE DE COMMUNES DOMBES SAONE-VALLEE;0.6;0;20160701;'01480';
'01447';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01250';
'01451';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01002';'01004';'01005';'01006';'01007';'01008';'01009';'01011';'01012';'01440';'01441';'01442';
'02001';CA CHAUNY-TERGNIER-LA FERE;0.6;0;20230701;'02300';'02303';
'02002';CA CHAUNY-TERGNIER-LA FERE;0.6;0;20230701;'02800';
'02003';SITU SOISSONNAIS;0.6;0;20110301;'02200';'02207';
'02003';SITU SOISSONNAIS;0;0.1;20230701;'02200';'02207';
'02009';HAUTS-DE-FRANCE MOBILITES;0;0.1;20180901;'02240';
'02009';HAUTS-DE-FRANCE MOBILITES;0;0.1;20240701;'02240';
'02010';HAUTS-DE-FRANCE MOBILITES;0;0.1;20180901;'02320';
'02010';HAUTS-DE-FRANCE MOBILITES;0;0.1;20240701;'02320';
'02011';COMMUNAUTE DE COMMUNES RETZ EN VALOIS;0.6;0;20200701;'02290';
'02011';COMMUNAUTE DE COMMUNES RETZ EN VALOIS;0;0.1;20230701;'02290';
'02012';HAUTS-DE-FRANCE MOBILITES;0;0.1;20180901;'02200';
'02012';HAUTS-DE-FRANCE MOBILITES;0;0.1;20240701;'02200';
'02014';CA CHAUNY-TERGNIER-LA FERE;0.6;0;20230701;'02700';
'02015';COMMUNAUTE DE COMMUNES RETZ EN VALOIS;0.6;0;20200701;'02600';
'02016';CA CHAUNY-TERGNIER-LA FERE;0.6;0;20230701;'02800';
'02017';CA CHAUNY-TERGNIER-LA FERE;0.6;0;20230701;'02800';
'02019';COMMUNAUTE D'AGGLOMERATION DU SAINT QUENTINOIS;0.8;0;20220101;'02480';
'02019';COMMUNAUTE D'AGGLOMERATION DU SAINT QUENTINOIS;0;0.1;20230701;'02480';
'02023';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20170901;'02210';
'02023';CA DE LA REGION DE CHATEAU-THIERRY;0;0.1;20230701;'02210';
'02023';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20240701;'02210';
'02024';CA DU PAYS DE LAON;0.6;0;20190101;'02860';
'02024';CA DU PAYS DE LAON;0.6;0;20240701;'02860';
'02025';COMMUNAUTE D'AGGLOMERATION DU SAINT QUENTINOIS;0.8;0;20220101;'02480';
'02025';COMMUNAUTE D'AGGLOMERATION DU SAINT QUENTINOIS;0;0.1;20230701;'02480';
'02028';CA DU PAYS DE LAON;0.6;0;20190101;'02840';
'02028';CA DU PAYS DE LAON;0.6;0;20240701;'02840';
'02029';HAUTS-DE-FRANCE MOBILITES;0;0.1;20180901;'02490';
'02032';COMMUNAUTE D'AGGLOMERATION DU SAINT QUENTINOIS;0.8;0;20220101;'02590';
'02032';COMMUNAUTE D'AGGLOMERATION DU SAINT QUENTINOIS;0;0.1;20230701;'02590';
'02032';COMMUNAUTE D'AGGLOMERATION DU SAINT QUENTINOIS;0.8;0;20240701;'02590';
'02034';COMMUNAUTE DE COMMUNES RETZ EN VALOIS;0.6;0;20200701;'02300';
'02037';CA DU PAYS DE LAON;0.6;0;20190101;'02000';
'02037';CA DU PAYS DE LAON;0.6;0;20240701;'02000';
'02041';CA CHAUNY-TERGNIER-LA FERE;0.6;0;20230701;'02300';
'02042';CA DE LA REGION DE CHATEAU-THIERRY;0.6;0;20170701;'02400';'02403';
'02042';CA DE LA REGION DE CHATEAU-THIERRY;0;0.1;20230701;'02400';'02403';
